signal_date,year,older_occupants,same_candle_slots,candidate_count,rejected_count,all_short_candidates,admission_addressable,policy_evaluable,actual_pairs,actual_tags,rejected_pairs,rejected_tags,policy_pairs,policy_tags,actual_sum_return,pullback_first_sum_return,pullback_first_delta,policy_changed_selection,oracle_sum_return,oracle_delta
2025-09-01 00:00:00+00:00,2025,2,1,3,2,True,True,True,DOGE/USDT:USDT,short_pullback_restart,SUI/USDT:USDT|XRP/USDT:USDT,short_pullback_restart|short_pullback_restart,DOGE/USDT:USDT,short_pullback_restart,0.00012953981741453338,0.00012953981741453338,0.0,False,0.00012953981741453338,0.0
2025-09-24 04:00:00+00:00,2025,2,1,2,1,True,True,True,SUI/USDT:USDT,short_pullback_restart,LINK/USDT:USDT,short_pullback_restart,SUI/USDT:USDT,short_pullback_restart,-0.04699583043455762,-0.04699583043455762,0.0,False,0.0503783396141612,0.09737417004871882
2025-09-25 02:00:00+00:00,2025,3,0,1,1,True,False,False,,,ETH/USDT:USDT,short_pullback_restart,,,0.0,,,False,,
2025-09-28 02:00:00+00:00,2025,3,0,1,1,True,False,False,,,SUI/USDT:USDT,short_pullback_restart,,,0.0,,,False,,
2025-09-28 12:00:00+00:00,2025,3,0,1,1,True,False,False,,,SOL/USDT:USDT,short_pullback_restart,,,0.0,,,False,,
2025-11-06 13:00:00+00:00,2025,1,2,3,1,True,True,True,BTC/USDT:USDT|ETH/USDT:USDT,short_pullback_restart|short_pullback_restart,SOL/USDT:USDT,short_pullback_restart,ETH/USDT:USDT|BTC/USDT:USDT,short_pullback_restart|short_pullback_restart,0.0007094769903797846,0.0007094769903797846,0.0,False,0.0007094769903797846,0.0
2025-11-06 15:00:00+00:00,2025,3,0,3,3,True,False,False,,,ADA/USDT:USDT|BNB/USDT:USDT|LINK/USDT:USDT,short_pullback_restart|short_pullback_restart|short_pullback_restart,,,0.0,,,False,,
2025-12-15 15:00:00+00:00,2025,2,1,2,1,True,True,True,ADA/USDT:USDT,short_pullback_restart,NEAR/USDT:USDT,short_pullback_restart,ADA/USDT:USDT,short_pullback_restart,7.296605120648242e-05,7.296605120648242e-05,0.0,False,0.0036205116903102,0.0035475456391037175
2025-12-21 02:00:00+00:00,2025,1,2,4,2,True,True,True,ADA/USDT:USDT|SOL/USDT:USDT,short_pullback_restart|short_pullback_restart,LINK/USDT:USDT|SUI/USDT:USDT,short_pullback_restart|short_pullback_restart,ADA/USDT:USDT|SOL/USDT:USDT,short_pullback_restart|short_pullback_restart,-0.014590256134310503,-0.014590256134310503,0.0,False,-0.014590256134310503,0.0
2025-12-21 03:00:00+00:00,2025,3,0,1,1,True,False,False,,,TAO/USDT:USDT,short_pullback_restart,,,0.0,,,False,,
2026-01-22 15:00:00+00:00,2026,2,1,3,2,True,True,True,ADA/USDT:USDT,short_pullback_restart,DOGE/USDT:USDT|LINK/USDT:USDT,short_pullback_restart|short_pullback_restart,ADA/USDT:USDT,short_pullback_restart,-0.02905680847089898,-0.02905680847089898,0.0,False,0.0517839281332348,0.08084073660413378
2026-01-25 09:00:00+00:00,2026,3,0,1,1,True,False,False,,,NEAR/USDT:USDT,short_pullback_restart,,,0.0,,,False,,
2026-01-25 15:00:00+00:00,2026,3,0,1,1,True,False,False,,,DOGE/USDT:USDT,short_pullback_restart,,,0.0,,,False,,
2026-01-29 12:00:00+00:00,2026,3,0,1,1,True,False,False,,,ZEC/USDT:USDT,short_compression_breakdown,,,0.0,,,False,,
2026-01-29 15:00:00+00:00,2026,3,0,2,2,True,False,False,,,BTC/USDT:USDT|SOL/USDT:USDT,short_compression_breakdown|short_compression_breakdown,,,0.0,,,False,,
2026-02-03 18:00:00+00:00,2026,3,0,2,2,True,False,False,,,BNB/USDT:USDT|XRP/USDT:USDT,short_pullback_restart|short_compression_breakdown,,,0.0,,,False,,
2026-02-10 19:00:00+00:00,2026,3,0,3,3,True,False,False,,,SOL/USDT:USDT|SUI/USDT:USDT|TAO/USDT:USDT,short_compression_breakdown|short_compression_breakdown|short_compression_breakdown,,,0.0,,,False,,
2026-02-11 05:00:00+00:00,2026,3,0,2,2,True,False,False,,,BTC/USDT:USDT|LINK/USDT:USDT,short_pullback_restart|short_pullback_restart,,,0.0,,,False,,
2026-02-22 13:00:00+00:00,2026,0,3,4,1,True,True,True,ADA/USDT:USDT|TAO/USDT:USDT|XRP/USDT:USDT,short_compression_breakdown|short_compression_breakdown|short_pullback_restart,SUI/USDT:USDT,short_compression_breakdown,XRP/USDT:USDT|ADA/USDT:USDT|TAO/USDT:USDT,short_pullback_restart|short_compression_breakdown|short_compression_breakdown,0.04979716079879918,0.04979716079879918,0.0,False,0.04998830972796818,0.00019114892916900078
2026-03-22 00:00:00+00:00,2026,0,3,4,1,True,True,True,BNB/USDT:USDT|SUI/USDT:USDT|XRP/USDT:USDT,short_pullback_restart|short_pullback_restart|short_pullback_restart,LINK/USDT:USDT,short_pullback_restart,BNB/USDT:USDT|XRP/USDT:USDT|SUI/USDT:USDT,short_pullback_restart|short_pullback_restart|short_pullback_restart,-0.029098777049715856,-0.029098777049715856,0.0,False,0.0015411851072975947,0.03063996215701345
2026-03-29 11:00:00+00:00,2026,3,0,1,1,True,False,False,,,NEAR/USDT:USDT,short_pullback_restart,,,0.0,,,False,,
2026-03-29 14:00:00+00:00,2026,3,0,2,2,True,False,False,,,BNB/USDT:USDT|LINK/USDT:USDT,short_pullback_restart|short_pullback_restart,,,0.0,,,False,,
2026-05-31 15:00:00+00:00,2026,0,3,5,2,True,True,True,ADA/USDT:USDT|DOGE/USDT:USDT|SOL/USDT:USDT,short_pullback_restart|short_pullback_restart|short_pullback_restart,LINK/USDT:USDT|TAO/USDT:USDT,short_pullback_restart|short_pullback_restart,ADA/USDT:USDT|SOL/USDT:USDT|DOGE/USDT:USDT,short_pullback_restart|short_pullback_restart|short_pullback_restart,0.08781035020338787,0.08781035020338787,0.0,False,0.10462878478547373,0.01681843458208586
2026-06-10 09:00:00+00:00,2026,3,0,1,1,True,False,False,,,SOL/USDT:USDT,short_compression_breakdown,,,0.0,,,False,,
