field_name,type,description,source,calculation,nullable
estimated_slippage_pct,float,Direction-adjusted entry slippage,trade + 1H OHLCV,requested price preferred; signal close fallback,True
slippage_level,float/string,slippage level,trade database or local OHLCV,direct or derived; see dryrun_monitor.py,True
actual_fee_pct,float,Entry and exit fee share of stake,trades fee fields,fee cost / stake or fee rates,True
funding_fee_pct,float,Absolute funding fee share of stake,trades.funding_fees,abs(funding) / stake,True
funding_fee_to_profit_abs,float/string,funding fee to profit abs,trade database or local OHLCV,direct or derived; see dryrun_monitor.py,True
cost_total_pct,float,"Conservative fee, funding and slippage total",derived,fee + abs(funding) + abs(slippage),True
concurrent_trades_at_entry,float/string,concurrent trades at entry,trade database or local OHLCV,direct or derived; see dryrun_monitor.py,True
max_concurrent_trades_during_trade,float/string,max concurrent trades during trade,trade database or local OHLCV,direct or derived; see dryrun_monitor.py,True
was_slot_full,float/string,was slot full,trade database or local OHLCV,direct or derived; see dryrun_monitor.py,True
data_warnings,float/string,data warnings,trade database or local OHLCV,direct or derived; see dryrun_monitor.py,True
